# timestamp,mag_x,mag_y,mag_z
1531207359102,-30.9375,8.0,12.6875
1531207359112,-30.8125,7.8125,13.0
1531207359122,-30.0625,7.6875,13.3125
1531207359132,-30.25,8.0,13.0
1531207359142,-30.6875,8.125,13.0
1531207359152,-30.8125,7.8125,12.6875
1531207359162,-30.9375,8.3125,12.5625
1531207359172,-31.5,8.625,12.4375
1531207359182,-31.625,8.125,12.6875
1531207359192,-31.9375,7.875,12.6875
1531207359202,-32.1875,8.0,13.3125
1531207359212,-32.375,8.1875,13.0
1531207359222,-32.375,8.1875,13.125
1531207359232,-32.1875,8.4375,13.3125
1531207359243,-31.8125,8.75,13.4375
1531207359252,-31.375,9.0625,13.3125
1531207359262,-31.25,8.75,13.4375
1531207359272,-30.9375,8.4375,13.625
1531207359282,-30.9375,8.4375,13.1875
1531207359292,-30.9375,7.8125,13.1875
1531207359302,-31.0625,7.8125,13.0
1531207359312,-30.8125,8.0,13.0
1531207359322,-31.25,8.3125,13.0
1531207359332,-31.1875,8.0,13.3125
1531207359342,-31.375,8.625,13.3125
1531207359352,-31.5,8.125,13.1875
1531207359362,-31.75,8.1875,13.3125
1531207359372,-31.625,8.3125,13.3125
1531207359382,-31.8125,8.1875,12.875
1531207359392,-31.8125,8.3125,12.875
1531207359402,-31.9375,8.3125,12.875
1531207359412,-32.1875,7.75,12.5625
1531207359422,-31.75,7.25,12.125
1531207359432,-31.9375,7.5625,12.875
1531207359442,-32.1875,7.4375,12.6875
1531207359452,-31.9375,7.6875,12.6875
1531207359462,-31.625,8.0,13.1875
1531207359472,-31.9375,8.3125,13.0
1531207359482,-31.8125,8.4375,12.4375
1531207359492,-31.8125,8.3125,12.4375
1531207359502,-31.5,8.4375,12.5625
1531207359512,-31.625,8.4375,12.125
1531207359522,-31.25,8.3125,12.4375
1531207359532,-30.9375,8.4375,12.25
1531207359542,-30.375,8.5625,12.125
1531207359552,-30.9375,8.3125,11.9375
1531207359562,-30.5,8.25,12.125
1531207359572,-30.6875,8.5625,12.125
1531207359582,-31.0625,8.4375,12.25
1531207359592,-31.5,8.3125,12.5625
1531207359602,-31.0625,8.3125,12.6875
1531207359612,-31.25,8.75,12.875
1531207359622,-31.625,8.4375,12.875
1531207359632,-31.25,8.5625,13.0
1531207359642,-31.0625,8.4375,13.1875
1531207359652,-31.25,8.3125,12.875
1531207359662,-31.0625,8.125,12.6875
1531207359672,-31.0625,8.3125,12.875
1531207359682,-31.0625,8.4375,13.0
1531207359692,-31.25,8.4375,12.6875
1531207359703,-31.5,8.4375,13.0
1531207359712,-31.625,8.4375,12.875
1531207359722,-31.625,8.4375,13.0
1531207359732,-31.8125,8.3125,12.875
1531207359742,-31.625,8.4375,12.875
1531207359752,-31.625,8.625,12.5625
1531207359762,-31.625,8.4375,12.6875
1531207359772,-31.25,8.625,12.4375
1531207359782,-31.25,8.4375,12.4375
1531207359792,-31.5,8.625,12.25
1531207359802,-31.375,8.625,12.5625
1531207359812,-31.375,8.75,12.6875
1531207359822,-31.625,8.625,12.875
1531207359832,-31.8125,8.625,13.0
1531207359842,-31.8125,8.75,13.1875
1531207359852,-31.9375,8.625,13.0
1531207359862,-32.375,8.5,13.0
1531207359872,-32.1875,8.4375,13.125
1531207359882,-32.1875,8.4375,13.0
1531207359892,-31.9375,8.3125,13.1875
1531207359902,-31.625,8.4375,13.4375
1531207359912,-31.25,8.4375,13.3125
1531207359922,-31.8125,8.625,12.875
1531207359932,-31.8125,8.75,13.1875
1531207359943,-31.8125,8.625,13.0
1531207359952,-31.9375,8.3125,12.6875
1531207359962,-32.1875,8.625,12.875
1531207359972,-31.375,8.125,13.1875
1531207359982,-31.1875,7.5625,12.6875
1531207359992,-31.375,7.6875,12.5625
1531207360002,-31.5,8.0,12.5625
1531207360012,-31.375,7.6875,12.125
1531207360022,-31.5,7.875,11.9375
1531207360032,-31.8125,8.0,11.8125
1531207360042,-31.75,7.5625,12.125
1531207360052,-31.75,7.4375,12.4375
1531207360062,-31.75,7.4375,12.6875
1531207360072,-32.0625,7.4375,12.5625
1531207360082,-31.75,7.6875,13.0
1531207360092,-31.9375,8.0,12.6875
1531207360102,-31.75,7.875,12.4375
1531207360112,-32.0625,7.6875,12.4375
1531207360122,-31.9375,7.5625,12.5625
1531207360132,-31.75,7.4375,12.4375
1531207360142,-31.625,7.25,12.5625
1531207360152,-31.5,7.375,12.5625
1531207360162,-31.1875,7.6875,12.6875
1531207360172,-31.5,8.0,13.0
1531207360182,-31.9375,7.875,13.3125
1531207360192,-31.9375,7.875,13.75
1531207360202,-32.1875,7.875,14.1875
1531207360212,-32.3125,7.75,14.0625
1531207360222,-32.0625,7.6875,14.0625
1531207360232,-32.0625,7.5625,13.75
1531207360242,-31.75,7.5625,13.75
1531207360252,-32.0625,7.875,13.875
1531207360262,-32.0625,7.5625,14.0625
1531207360272,-32.1875,7.6875,14.375
1531207360282,-32.1875,8.1875,14.5
1531207360292,-32.0625,8.3125,14.375
1531207360302,-31.75,8.125,14.0625
1531207360312,-31.5,8.4375,13.9375
1531207360322,-31.375,8.125,13.4375
1531207360332,-31.5,7.6875,13.4375
1531207360342,-31.9375,7.4375,13.0
1531207360352,-31.625,7.5625,13.0
1531207360362,-32.0625,7.4375,13.0
1531207360372,-32.0625,7.4375,12.875
1531207360382,-31.625,7.5625,13.0
1531207360392,-31.625,7.875,13.1875
1531207360402,-31.5,7.6875,13.0
1531207360412,-31.375,8.0,13.625
1531207360422,-31.3125,7.5625,13.75
1531207360432,-31.625,7.375,13.625
1531207360442,-31.5,7.375,13.9375
1531207360452,-31.5,7.25,13.75
1531207360462,-31.3125,7.125,13.625
1531207360472,-31.375,7.875,13.625
1531207360483,-30.8125,8.125,13.625
1531207360492,-30.8125,7.6875,13.75
1531207360503,-30.9375,7.8125,13.9375
1531207360512,-31.0625,7.8125,13.9375
1531207360523,-31.0625,7.5625,14.1875
1531207360532,-31.375,7.875,14.1875
1531207360542,-31.625,8.4375,13.9375
1531207360552,-31.8125,8.4375,14.1875
1531207360562,-31.625,8.625,14.1875
1531207360572,-31.375,9.0625,14.0625
1531207360582,-31.6875,9.1875,14.0625
1531207360592,-31.375,9.3125,14.0625
1531207360602,-31.25,9.3125,14.1875
1531207360612,-31.25,9.625,13.75
1531207360622,-31.125,9.5,13.4375
1531207360632,-30.8125,9.3125,13.3125
1531207360642,-30.6875,9.3125,13.3125
1531207360652,-30.5625,9.3125,12.4375
1531207360662,-30.6875,9.0,12.5625
1531207360672,-31.125,8.875,12.5625
1531207360682,-31.375,8.625,12.5625
1531207360692,-31.5,8.125,12.6875
1531207360702,-31.5,8.125,13.4375
1531207360712,-31.375,8.0,13.625
1531207360722,-31.5,7.5625,13.75
1531207360731,-31.3125,7.5625,13.75
1531207360742,-31.5,7.6875,13.4375
1531207360752,-31.75,7.25,13.1875
1531207360762,-31.75,7.25,13.0
1531207360772,-31.75,7.5625,13.1875
1531207360782,-31.9375,7.6875,13.9375
1531207360792,-31.9375,8.0,14.1875
1531207360802,-31.75,8.3125,14.0625
1531207360812,-31.75,8.3125,14.0625
1531207360822,-31.75,8.125,13.75
1531207360832,-31.5,8.125,13.4375
1531207360842,-31.5,7.5625,13.3125
1531207360852,-31.5,7.5625,13.625
1531207360862,-31.625,7.125,13.75
1531207360872,-31.3125,7.375,14.1875
1531207360882,-31.3125,7.125,13.9375
1531207360892,-31.3125,7.25,14.0625
1531207360902,-31.4375,6.8125,14.1875
1531207360912,-31.5,6.9375,14.0625
1531207360922,-31.625,6.6875,13.9375
1531207360933,-31.5,6.9375,13.9375
1531207360942,-31.5,7.125,13.75
1531207360952,-31.1875,7.375,13.625
1531207360962,-31.0625,7.25,13.9375
1531207360972,-31.0625,7.25,13.75
1531207360982,-31.1875,7.125,14.0625
1531207360992,-31.1875,6.8125,14.1875
1531207361002,-31.625,6.6875,14.0625
1531207361012,-31.625,6.8125,14.0625
1531207361022,-31.75,6.9375,14.375
1531207361032,-31.875,6.9375,14.375
1531207361042,-31.875,6.8125,14.5
1531207361052,-31.4375,6.8125,14.0625
1531207361062,-31.1875,6.375,13.625
